Date Pulled,Metric,Value,Source,Period,Notes
2026-08-25,Android MAU (30-day active users),124,Firebase Analytics (GA4 - combined property),Jul 28 - Aug 24 2026,Combined across Android+iOS - single GA4 property
2026-08-25,WAU (7-day active users),36,Firebase Analytics (GA4 - combined property),Last 7 days as of Aug 24,Combined across Android+iOS
2026-08-25,DAU (1-day active users),10,Firebase Analytics (GA4 - combined property),Aug 24 2026,Combined across Android+iOS
2026-08-25,Android installs (current release),52,Google Play Console Dashboard,Since Jul 29 2026 release,Not lifetime total - just current release
2026-08-25,Android install base %,63.4%,Google Play Console Dashboard,Current,Retained installs vs uninstalled
2026-08-25,Android Monthly Active Devices,46,Google Play Console Grow Users,Last 28 days vs previous 28 days,Trending +24% - pre-campaign baseline
2026-08-25,Android Device acquisitions,35,Google Play Console Grow Users,Last 28 days vs previous 28 days,Trending -5% - pre-campaign baseline (flat/declining)
2026-08-25,iOS Total Downloads,12,App Store Connect Analytics,Jul 25 - Aug 23 2026,Data lags ~2 days
2026-08-25,iOS Product Page Views,53,App Store Connect Analytics,Jul 25 - Aug 23 2026,Conversion rate ~23% (12/53) views-to-downloads
2026-08-25,Play Store public badge,100+,Play Store public listing,Lifetime (bucketed range),Google rounds to buckets (100+/500+/1K+) - imprecise
2026-08-25,AdMob earnings - today,ILS 0.18,AdMob Home dashboard,2026-08-25,
2026-08-25,AdMob earnings - yesterday,ILS 0.02,AdMob Home dashboard,2026-08-24,
2026-08-25,AdMob earnings - this month,ILS 2.34,AdMob Home dashboard,Aug 2026 so far,
2026-08-25,AdMob earnings - last month,ILS 3.27,AdMob Home dashboard,Jul 2026,
2026-08-25,AdMob impressions (7d),227,AdMob Home dashboard,Last 7 days vs previous 7 days,-22.26% vs prior week
2026-08-25,AdMob ad requests (7d),301,AdMob Home dashboard,Last 7 days vs previous 7 days,-39.80% vs prior week
2026-08-25,AdMob match rate (7d),92.03%,AdMob Home dashboard,Last 7 days vs previous 7 days,+10.61% vs prior week
2026-08-25,Realtime active users (Android, last 30 min),0,Firebase Realtime Analytics,2026-08-25 14:33 local,Baseline snapshot at match start - Wuhan Open
2026-08-25,Realtime active users (Android, last 30 min),1,Firebase Realtime Analytics,2026-08-25 ~15:14 local,Mid-match check ~40min after Wuhan Open start - single blip ~10min ago not sustained
2026-08-25,Realtime active users (Android, last 30 min),0,Firebase Realtime Analytics,2026-08-25 15:07 local (scheduled check),Wuhan Open live ~34min in - back to 0, prior 15:14 manual check showed 1 (single blip, not sustained); baseline at 14:33 start was also 0
2026-08-26,Firebase DAU,12,Firebase Analytics Dashboard,2026-08-26 (vs comparable day),+140% - real positive signal
2026-08-26,Firebase 7-day active users,38,Firebase Analytics Dashboard,Last 7 days as of Aug 26,
2026-08-26,Firebase 30-day active users,120,Firebase Analytics Dashboard,Last 30 days as of Aug 26,
2026-08-26,Android Device impressions,1540,Google Play Console Grow Users,Last 28 days vs previous 28 days,-52%
2026-08-26,Android Device acquisitions,26,Google Play Console Grow Users,Last 28 days vs previous 28 days,-42% (28-day window dilutes 1-2 day recent campaign tail; reporting lag still applies)
2026-08-26,Android Device first opens,11,Google Play Console Grow Users,Last 28 days vs previous 28 days,-35%
2026-08-26,Android Monthly active devices,46,Google Play Console Grow Users,Last 28 days vs previous 28 days,+15%
